@RELATION pnts-dense
@ATTRIBUTE root NUMERIC
@ATTRIBUTE seat NUMERIC
@ATTRIBUTE other NUMERIC
@DATA
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,1.33333,0
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.33333,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
