@RELATION pnts-dense
@ATTRIBUTE root~0~2~0~combined NUMERIC
@ATTRIBUTE roof~1~2~0~combined NUMERIC
@ATTRIBUTE other...~2~2~0~combined NUMERIC
@DATA
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,1.00,0.00
0.00,1.00,0.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
0.00,0.00,1.00
