@RELATION pnts-dense
@ATTRIBUTE root NUMERIC
@ATTRIBUTE fin NUMERIC
@ATTRIBUTE other NUMERIC
@DATA
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,1.5,0
0,0,0
0,1.5,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,7,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,1.5,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,1.5,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,2.5,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,1.5,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
0,1.5,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,1.5,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1.5,0
-1,-1,-1
0,1.5,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,1.5,0
-1,-1,-1
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,1.5,0
-1,-1,-1
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,1.5,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,1.5,0
0,1.5,0
0,0,0
0,6,0
0,0,0
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
0,1.5,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,1.5,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,1.5,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1.5,0
0,1.5,0
0,1.5,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1.5,0
0,0,0
