@RELATION pnts-dense
@ATTRIBUTE root NUMERIC
@ATTRIBUTE panels NUMERIC
@ATTRIBUTE other NUMERIC
@DATA
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,2.33333,0
-1,-1,-1
-1,-1,-1
0,1,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,1.6,0
0,2,0
0,1,0
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,1,0
0,2,0
0,1,0
0,2.33333,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2.33333,0
0,1,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,2,0
0,1,0
0,4,0
0,1,0
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,1,0
0,1.33333,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2.33333,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,2.33333,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,1,0
0,2.33333,0
-1,-1,-1
0,0,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
-1,-1,-1
0,2,0
0,2.33333,0
0,1,0
0,2.33333,0
0,2.33333,0
0,1,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2.33333,0
0,1.6,0
0,1.6,0
0,1,0
0,1,0
0,1,0
0,0,0
0,2,0
0,2,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
0,2.33333,0
0,2.33333,0
0,1.6,0
0,0,0
0,0,0
0,2,0
-1,-1,-1
0,2.33333,0
0,1,0
0,1,0
0,1,0
0,2,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,2.33333,0
0,2,0
-1,-1,-1
0,1,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,1,0
0,2,0
0,2.33333,0
0,2.33333,0
0,1,0
0,1,0
0,1,0
0,2,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,2.33333,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,2,0
0,2,0
0,2.33333,0
0,2,0
-1,-1,-1
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
0,2.33333,0
0,2,0
0,2,0
0,2,0
0,2.33333,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2,0
0,0,0
0,2.33333,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,1.6,0
0,2,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2.33333,0
0,1,0
0,2.5,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,2.33333,0
0,2,0
0,0,0
0,0,0
0,2,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,2.33333,0
-1,-1,-1
0,1,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2,0
0,2,0
0,2,0
0,0,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,2,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,2.33333,0
0,2.33333,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,2,0
0,2,0
0,2,0
0,0,0
0,0,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
0,1,0
0,2.33333,0
0,1,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,2,0
0,2.33333,0
0,2.33333,0
0,1,0
0,2,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1.5,0
0,0,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
0,1,0
0,1,0
0,4,0
0,2.33333,0
0,0,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,2,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,2.33333,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1.5,0
0,2,0
0,1,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,2.33333,0
0,1,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
-1,-1,-1
0,2,0
0,2,0
0,2,0
0,2,0
-1,-1,-1
-1,-1,-1
0,2,0
-1,-1,-1
-1,-1,-1
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,0,0
0,2.33333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2.33333,0
0,0,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2.33333,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.5,0
0,2,0
0,2.33333,0
0,2.33333,0
-1,-1,-1
-1,-1,-1
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2.33333,0
0,2,0
0,2,0
0,0,0
0,2,0
0,2,0
