@RELATION pnts-dense
@ATTRIBUTE root NUMERIC
@ATTRIBUTE panels NUMERIC
@ATTRIBUTE other NUMERIC
@DATA
0,0,0
0,1,0
0,2,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
-1,-1,-1
0,2,0
0,0,0
0,2,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,2,0
0,1,0
0,1,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,2,0
-1,-1,-1
0,1,0
0,0,0
0,2,0
0,0,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,2,0
0,0,0
0,1,0
0,1,0
0,1,0
0,2,0
0,0,0
0,2,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,2,0
0,0,0
0,2,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,2,0
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,2,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,2,0
0,2,0
0,1,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,2,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,2,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,2,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,1,0
0,2,0
0,0,0
0,1,0
0,1,0
0,1,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,2,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,2,0
-1,-1,-1
0,0,0
0,4,0
0,1,0
0,0,0
0,2,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,2,0
0,0,0
0,0,0
0,2,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
-1,-1,-1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
-1,-1,-1
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,1,0
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,1.5,0
0,0,0
0,2,0
0,0,0
0,1,0
-1,-1,-1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,2,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,2,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,2,0
0,0,0
0,0,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,3,0
0,1,0
0,1,0
-1,-1,-1
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
0,4,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,2,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,2,0
0,1,0
0,1,0
0,2,0
0,2,0
0,0,0
0,1,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,2,0
-1,-1,-1
0,2,0
0,2,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
-1,-1,-1
0,2,0
0,0,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
0,2,0
0,1,0
0,1,0
-1,-1,-1
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,1,0
0,2,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,8,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,4,0
0,0,0
0,2,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,2,0
0,1,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,1,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,2,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,2,0
0,0,0
0,1,0
0,1,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,2,0
0,0,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,1,0
-1,-1,-1
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,3,0
0,0,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,0,0
0,2,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
0,1,0
0,1,0
0,0,0
0,2,0
-1,-1,-1
0,1,0
-1,-1,-1
0,0,0
-1,-1,-1
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,2,0
0,2,0
0,1,0
0,1,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
-1,-1,-1
0,2,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,1,0
