@RELATION pnts-dense
@ATTRIBUTE root NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE other NUMERIC
@DATA
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,1,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
-1,-1,-1
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
-1,-1,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
